LANE_LENGTH,LANE_CAPACITY,LINK_LENGTH,LINK_CAPACITY,CYCLE,AGENTS_PER_LEFT_APPROACH,AGENTS_PER_TOP_APPROACH,AGENTS_PER_RIGHT_APPROACH,AGENTS_PER_BOTTOM_APPROACH,ITERATION,STORAGE_CAPFACTOR,FLOW_CAPFACTOR
1000,1000,1000,1000,120,200,90,200,100,50,1,1
1000,1000,1000,1000,120,200,90,200,100,50,0.75,0.75
1000,1000,1000,1000,120,200,90,200,100,50,0.5,0.5
1000,1000,1000,1000,120,200,90,200,100,50,0.25,0.25
1000,1000,1000,1000,120,200,90,200,100,50,0.1,0.1
1000,500,1000,1000,120,200,90,200,100,50,1,1
1000,500,1000,1000,120,200,90,200,100,50,0.75,0.75
1000,500,1000,1000,120,200,90,200,100,50,0.5,0.5
1000,500,1000,1000,120,200,90,200,100,50,0.25,0.25
1000,500,1000,1000,120,200,90,200,100,50,0.1,0.1
1000,1500,1000,1000,120,200,90,200,100,50,1,1
1000,1500,1000,1000,120,200,90,200,100,50,0.75,0.75
1000,1500,1000,1000,120,200,90,200,100,50,0.5,0.5
1000,1500,1000,1000,120,200,90,200,100,50,0.25,0.25
1000,1500,1000,1000,120,200,90,200,100,50,0.1,0.1
1000,1000,1000,1000,90,200,90,200,100,50,1,1
1000,1000,1000,1000,90,200,90,200,100,50,0.75,0.75
1000,1000,1000,1000,90,200,90,200,100,50,0.5,0.5
1000,1000,1000,1000,90,200,90,200,100,50,0.25,0.25
1000,1000,1000,1000,90,200,90,200,100,50,0.1,0.1
1000,500,1000,1000,90,200,90,200,100,50,1,1
1000,500,1000,1000,90,200,90,200,100,50,0.75,0.75
1000,500,1000,1000,90,200,90,200,100,50,0.5,0.5
1000,500,1000,1000,90,200,90,200,100,50,0.25,0.25
1000,500,1000,1000,90,200,90,200,100,50,0.1,0.1
1000,1500,1000,1000,90,200,90,200,100,50,1,1
1000,1500,1000,1000,90,200,90,200,100,50,0.75,0.75
1000,1500,1000,1000,90,200,90,200,100,50,0.5,0.5
1000,1500,1000,1000,90,200,90,200,100,50,0.25,0.25
1000,1500,1000,1000,90,200,90,200,100,50,0.1,0.1
1000,1000,1000,1000,60,200,90,200,100,50,1,1
1000,1000,1000,1000,60,200,90,200,100,50,0.75,0.75
1000,1000,1000,1000,60,200,90,200,100,50,0.5,0.5
1000,1000,1000,1000,60,200,90,200,100,50,0.25,0.25
1000,1000,1000,1000,60,200,90,200,100,50,0.1,0.1
1000,500,1000,1000,60,200,90,200,100,50,1,1
1000,500,1000,1000,60,200,90,200,100,50,0.75,0.75
1000,500,1000,1000,60,200,90,200,100,50,0.5,0.5
1000,500,1000,1000,60,200,90,200,100,50,0.25,0.25
1000,500,1000,1000,60,200,90,200,100,50,0.1,0.1
1000,1500,1000,1000,60,200,90,200,100,50,1,1
1000,1500,1000,1000,60,200,90,200,100,50,0.75,0.75
1000,1500,1000,1000,60,200,90,200,100,50,0.5,0.5
1000,1500,1000,1000,60,200,90,200,100,50,0.25,0.25
1000,1500,1000,1000,60,200,90,200,100,50,0.1,0.1
1000,1000,1000,1000,150,200,90,200,100,50,1,1
1000,1000,1000,1000,150,200,90,200,100,50,0.75,0.75
1000,1000,1000,1000,150,200,90,200,100,50,0.5,0.5
1000,1000,1000,1000,150,200,90,200,100,50,0.25,0.25
1000,1000,1000,1000,150,200,90,200,100,50,0.1,0.1
1000,500,1000,1000,150,200,90,200,100,50,1,1
1000,500,1000,1000,150,200,90,200,100,50,0.75,0.75
1000,500,1000,1000,150,200,90,200,100,50,0.5,0.5
1000,500,1000,1000,150,200,90,200,100,50,0.25,0.25
1000,500,1000,1000,150,200,90,200,100,50,0.1,0.1
1000,1500,1000,1000,150,200,90,200,100,50,1,1
1000,1500,1000,1000,150,200,90,200,100,50,0.75,0.75
1000,1500,1000,1000,150,200,90,200,100,50,0.5,0.5
1000,1500,1000,1000,150,200,90,200,100,50,0.25,0.25
1000,1500,1000,1000,150,200,90,200,100,50,0.1,0.1
1000,1000,1000,1000,120,400,180,400,200,50,1,1
1000,1000,1000,1000,120,400,180,400,200,50,0.75,0.75
1000,1000,1000,1000,120,400,180,400,200,50,0.5,0.5
1000,1000,1000,1000,120,400,180,400,200,50,0.25,0.25
1000,1000,1000,1000,120,400,180,400,200,50,0.1,0.1
1000,500,1000,1000,120,400,180,400,200,50,1,1
1000,500,1000,1000,120,400,180,400,200,50,0.75,0.75
1000,500,1000,1000,120,400,180,400,200,50,0.5,0.5
1000,500,1000,1000,120,400,180,400,200,50,0.25,0.25
1000,500,1000,1000,120,400,180,400,200,50,0.1,0.1
1000,1500,1000,1000,120,400,180,400,200,50,1,1
1000,1500,1000,1000,120,400,180,400,200,50,0.75,0.75
1000,1500,1000,1000,120,400,180,400,200,50,0.5,0.5
1000,1500,1000,1000,120,400,180,400,200,50,0.25,0.25
1000,1500,1000,1000,120,400,180,400,200,50,0.1,0.1
1000,1000,1000,1000,90,400,180,400,200,50,1,1
1000,1000,1000,1000,90,400,180,400,200,50,0.75,0.75
1000,1000,1000,1000,90,400,180,400,200,50,0.5,0.5
1000,1000,1000,1000,90,400,180,400,200,50,0.25,0.25
1000,1000,1000,1000,90,400,180,400,200,50,0.1,0.1
1000,500,1000,1000,90,400,180,400,200,50,1,1
1000,500,1000,1000,90,400,180,400,200,50,0.75,0.75
1000,500,1000,1000,90,400,180,400,200,50,0.5,0.5
1000,500,1000,1000,90,400,180,400,200,50,0.25,0.25
1000,500,1000,1000,90,400,180,400,200,50,0.1,0.1
1000,1500,1000,1000,90,400,180,400,200,50,1,1
1000,1500,1000,1000,90,400,180,400,200,50,0.75,0.75
1000,1500,1000,1000,90,400,180,400,200,50,0.5,0.5
1000,1500,1000,1000,90,400,180,400,200,50,0.25,0.25
1000,1500,1000,1000,90,400,180,400,200,50,0.1,0.1
1000,1000,1000,1000,60,400,180,400,200,50,1,1
1000,1000,1000,1000,60,400,180,400,200,50,0.75,0.75
1000,1000,1000,1000,60,400,180,400,200,50,0.5,0.5
1000,1000,1000,1000,60,400,180,400,200,50,0.25,0.25
1000,1000,1000,1000,60,400,180,400,200,50,0.1,0.1
1000,500,1000,1000,60,400,180,400,200,50,1,1
1000,500,1000,1000,60,400,180,400,200,50,0.75,0.75
1000,500,1000,1000,60,400,180,400,200,50,0.5,0.5
1000,500,1000,1000,60,400,180,400,200,50,0.25,0.25
1000,500,1000,1000,60,400,180,400,200,50,0.1,0.1
1000,1500,1000,1000,60,400,180,400,200,50,1,1
1000,1500,1000,1000,60,400,180,400,200,50,0.75,0.75
1000,1500,1000,1000,60,400,180,400,200,50,0.5,0.5
1000,1500,1000,1000,60,400,180,400,200,50,0.25,0.25
1000,1500,1000,1000,60,400,180,400,200,50,0.1,0.1
1000,1000,1000,1000,150,400,180,400,200,50,1,1
1000,1000,1000,1000,150,400,180,400,200,50,0.75,0.75
1000,1000,1000,1000,150,400,180,400,200,50,0.5,0.5
1000,1000,1000,1000,150,400,180,400,200,50,0.25,0.25
1000,1000,1000,1000,150,400,180,400,200,50,0.1,0.1
1000,500,1000,1000,150,400,180,400,200,50,1,1
1000,500,1000,1000,150,400,180,400,200,50,0.75,0.75
1000,500,1000,1000,150,400,180,400,200,50,0.5,0.5
1000,500,1000,1000,150,400,180,400,200,50,0.25,0.25
1000,500,1000,1000,150,400,180,400,200,50,0.1,0.1
1000,1500,1000,1000,150,400,180,400,200,50,1,1
1000,1500,1000,1000,150,400,180,400,200,50,0.75,0.75
1000,1500,1000,1000,150,400,180,400,200,50,0.5,0.5
1000,1500,1000,1000,150,400,180,400,200,50,0.25,0.25
1000,1500,1000,1000,150,400,180,400,200,50,0.1,0.1
1000,1000,1000,500,120,200,90,200,100,50,1,1
1000,1000,1000,500,120,200,90,200,100,50,0.75,0.75
1000,1000,1000,500,120,200,90,200,100,50,0.5,0.5
1000,1000,1000,500,120,200,90,200,100,50,0.25,0.25
1000,1000,1000,500,120,200,90,200,100,50,0.1,0.1
1000,500,1000,500,120,200,90,200,100,50,1,1
1000,500,1000,500,120,200,90,200,100,50,0.75,0.75
1000,500,1000,500,120,200,90,200,100,50,0.5,0.5
1000,500,1000,500,120,200,90,200,100,50,0.25,0.25
1000,500,1000,500,120,200,90,200,100,50,0.1,0.1
1000,1500,1000,500,120,200,90,200,100,50,1,1
1000,1500,1000,500,120,200,90,200,100,50,0.75,0.75
1000,1500,1000,500,120,200,90,200,100,50,0.5,0.5
1000,1500,1000,500,120,200,90,200,100,50,0.25,0.25
